人群包,行为,类目,标题关键词,标准品牌,渠道,消费频次,消费金额,商品价格,时间
类目公域行为,购买,1,1,1,1,1,1,1,1
类目公域行为,预售,1,1,1,1,,,,1
类目公域行为,浏览,1,1,1,1,,,1,1
类目公域行为,收藏,1,1,1,1,,,1,1
类目公域行为,加购,1,1,1,1,,,1,1
类目公域行为,评论,1,1,1,1,,,1,1
