适用的包,渠道名称,parentId,BizID
类目公域行为,所有销售渠道,16748,ALL
类目公域行为,天猫国际,16754,1
类目公域行为,天猫,16772,4
类目公域行为,全球购,16778,5
类目公域行为,淘宝集市,16784,3
